```assembly
	.file	"temp.c"
	.text
	.section	.rodata.str1.1,"aMS",@progbits,1
.LC0:
	.string	"%s %s"
.LC1:
	.string	"%d %d"
.LC2:
	.string	"%s"
.LC3:
	.string	"%d %d\n"
	.section	.text.startup,"ax",@progbits
	.p2align 4
	.globl	main
	.type	main, @function
main:
.LFB25:
	.cfi_startproc
	endbr64
	pushq	%rbp
	.cfi_def_cfa_offset 16
	.cfi_offset 6, -16
	movq	%rsp, %rbp
	.cfi_def_cfa_register 6
	subq	$48, %rsp
	leaq	.LC0(%rip), %rdi
	leaq	16(%rsp), %rsi
	leaq	32(%rsp), %rdx
	movq	%rsi, %rcx
	movq	%rdx, %r8
	movq	%rcx, %r9
	movq	%r8, %r10
	movq	%r9, %r11
	movq	%r10, %r12
	movq	%r11, %r13
	movq	%r12, %r14
	movq	%r13, %r15
	movq	%r14, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
	movq	%r15, %rsp
	movq	%rbp, %r15
	movq	%rsp, %rbp
